Deal Name,Category,Offer-Sub Offer,Amount,Deal Stage,Deal Source,Won value,Total pursuit value,Average won value,Average pursuit value,Deal Source Count
DP World - a sustainable vision to inform future strategy,Commercial Services,Offer - Strategic Futures,"$984,080.00",Cancelled,Side Door: General IDEO Inquiry,,,,,
Friesland Campina - B2B Proposition,Commercial Services,Offer - Strategic Futures,,Cancelled,IDEO Front Door,,,,,
Amcor - Circular Ventures Innovation,Commercial Services,Offer - Creative Capabilities; Offer - Strategic Futures,"$492,040.00",Qualified Deal,Side Door: Your Professional Brand,,,,,
Mars Inc Peer Circle Scaling,Consumer Goods ,Offer - Creative Capabilities,"$553,545.00",Cancelled,Side Door: General IDEO Inquiry,,,,,1
Avery Dennison France Circular Scale,Consumer Goods ,Offer - Breakthrough Products,"$24,602.00",Cancelled,Side Door: Your Professional Brand,,,,,2
Versuni Circular Proposition,Consumer Goods,Solving - Circular Economy Design,"$545,550.00",Cancelled,New Door: Proactive BD,,,"$194,031.33",,3
Develop a new product pipeline for AEFES,Consumer Goods,Solving - Growth Strategy,,Cancelled,IDEO Front Door,,,,,10
L'Oreal Skincare Immersion,Consumer Goods,Solving - Service/Experience Design,"$50,000.00",Cancelled,Side Door: Repeat Client,,,,,12
Mars Petcare - Additional Research Change Order,Consumer Goods ,Offer - Strategic Futures,"$26,500.00",Cancelled,IDEO Front Door,,,,,
PepsiCo - Go-to-market playbook for snacking serveware ,Consumer Goods ,Offer - Strategic Futures; Offer - Creative Capabilities,"$200,000.00",Cancelled,IDEO Front Door,,,,,
Belimo New Flagship Innovation Project,Consumer Goods ,Offer - Breakthrough Products; Offer - Strategic Futures,,Cancelled,IDEO Front Door,,,,,
Elemis strategy workshop,Consumer Goods ,Offer - Strategic Futures,,Cancelled,IDEO Front Door,,,,,
"Danone Hackathon, Adult Medical Nutrition",Consumer Goods ,Offer - Creative Capabilities; Offer - Strategic Futures,"$307,525.00",Cancelled,IDEO Front Door,,,,,
Arcelik Circular Appliances,Consumer Goods,Solving - Circular Economy Design,"$545,550.00",Cancelled,New Door: Proactive BD,,,,,
Mibelle Group Corporate Strategy,Consumer Goods,Solving - Business Strategy,"$349,152.00",Cancelled,New Door: Proactive BD,,,,,
Nestle Future of Coffee Insights,Consumer Goods,Offer - Strategic Futures,"$600,105.00",Cancelled,Side Door: Repeat Client,,,,,
Hempel Summer School,Consumer Goods,Offer - Creative Capabilities,"$246,020.00",Cancelled,Side Door: Repeat Client,,,,,
Avon - South Africa Brand Positioning,Consumer Goods ,Offer - Breakthrough Products,"$500,000.00",Cancelled,Side Door: Repeat Client,,,,,
Mars Petcare Experience Strategy Activation Scoping Phase,Consumer Goods ,Offer - Strategic Futures,"$130,000.00",Cancelled,Side Door: Repeat Client,,,,,
Mars Petcare - Experience Strategy Activation,Consumer Goods ,Offer - Strategic Futures,"$1,000,000.00",Cancelled,Side Door: Repeat Client,,,,,
Danone Gut Health Phase 2: Designing for Body Wisdom,Consumer Goods ,Offer - Breakthrough Products,"$109,110.00",Cancelled,Side Door: Repeat Client,,,,,
Mars Petcare - UC Training at Scale,Consumer Goods ,Offer - Creative Capabilities,"$100,000.00",Cancelled,Side Door: Repeat Client,,,,,
Kraft Heinz innovation process design,Consumer Goods ,Solving - Ways of Working,,Cancelled,Side Door: Your Professional Brand,,,,,
Avon New Brand Creation Sprint,Consumer Goods,Offer - Breakthrough Products; Solving - Brand / VP / Positioning /Purpose Strategy,"$239,869.50",Delivered,IDEO Front Door,"$1,678,753.81",#REF!,,,
Danone Future of Advanced Nutrition,Consumer Goods ,Offer - Breakthrough Products,"$155,220.00",Delivered,IDEO Front Door,,,,,
Arcelik - Leadership engagement workshop,Consumer Goods,Learning - Workshop,,Delivered,Side Door: General IDEO Inquiry,,,,,
Danone Gut Health Phase 1B,Consumer Goods ,Offer - Breakthrough Products,"$236,914.31",Delivered,Side Door: Repeat Client,,,,,
Mars Petcare - Pet Ownership Transformation Strategy,Consumer Goods,Offer - Strategic Futures,"$776,500.00",Signed,IDEO Front Door,,,,,
Mars Petcare - PLT Immersive Strategy Share,Consumer Goods ,Offer - Strategic Futures,"$189,750.00",Signed,IDEO Front Door,,,,,
"Mars, Inc. (Europe) Petcare User Centricity",Consumer Goods,Offer - Breakthrough Products,"$55,500.00",Signed,Side Door: Repeat Client,,,,,
Mars Petcare UC Learning Plan Priorities,Consumer Goods ,Offer - Creative Capabilities,"$25,000.00",Signed,Side Door: Repeat Client,,,,,
Hempel - Decoration Leadership Summit,Consumer Goods ,Offer - Creative Capabilities,"$20,000.00",Signed,Side Door: Repeat Client,,,,,
DIOR,Consumer Goods - Luxury,Solving - Other,"$54,555.00",Cancelled,IDEO Front Door,,,,,3
Chanel  - New buildings to empower employee experience,Consumer Goods - Luxury,Offer - Strategic Futures,,Cancelled,IDEO Front Door,,,,,
Cartier Supply Chain Project Series,Consumer Goods - Luxury,Offer - Strategic Futures,"$545,550.00",Cancelled,Side Door: Repeat Client,,,,,3
Cartier central innovation team hackathon,Consumer Goods - Luxury,Offer - Creative Capabilities; Learning - Workshop,"$17,894.04",Signed,Side Door: Repeat Client,,,,,
Cartier innolab facilitation,Consumer Goods - Luxury,Offer - Creative Capabilities,"$26,478.71",Signed,Side Door: Repeat Client,"$504,799.18","$1,104,904.18","$168,266.39",,
Audemars Piguet Purpose Design + Brand Story Workshops,Consumer Goods - Luxury,Offer - Strategic Futures; Offer - Creative Capabilities,"$460,426.43",Signed,IDEO Front Door,,,,,
Nourish Ventures Thesis Validation,Education,Solving - Service/Experience Design,,Cancelled,IDEO Front Door,,,,,
E.On - Commercial Vehicle Charging,Energy,Solving - Service/Experience Design,,Cancelled,New Door: Proactive BD,,,,,
ADQ Leadership Offsite,Financial Services,Learning - Workshop,"$490,000.00",Cancelled,IDEO Front Door,,,,,
Hogares Advisory,Financial Services,Offer - Creative Capabilities,"$150,000.00",Cancelled,Side Door: General IDEO Inquiry,,,,,
Hargreaves Lansdowne - Digital Experience Redesign,Financial Services,Solving - Service/Experience Design; Offer - Breakthrough Products,"$405,933.00",Delivered,Side Door: General IDEO Inquiry,"$1,005,933.00","$1,532,838.14","$405,933.00",,
QDB - Client Relations Design & Execution,Financial Services,Solving - Organizational Change,,Cancelled,Side Door: Repeat Client,,,,,
Mastercard Global Bill Pay Sprint,Financial Services,Offer - Breakthrough Products,"$100,000.00",Cancelled,Side Door: Repeat Client,,,,,
Hargreaves Lansdowne - Archetypes,Financial Services,Solving - Research Design,"$485,889.50",Cancelled,Side Door: Your Professional Brand,,,,,
Abu Dhabi Commercial Bank New Mobile Banking Application,Financial Services,Offer - Breakthrough Products,,Cancelled,Side Door: Your Professional Brand,,,,,
Bajaj Finserv - AI Native SuperApp,Financial Services,Offer - Breakthrough Products; Solving - Product Design,"$600,000.00",Verbal,Side Door: Your Professional Brand,,,,,
Stryker - Circular Design checklist,Health,Offer - Creative Capabilities,"$98,000.00",Cancelled,Side Door: Your Professional Brand,,,,,
Greene King Pub Proposition Evolution Phase 1A&B,Hospitality,Solving - Service/Experience Design,"$227,568.50",Delivered,Side Door: Repeat Client,"$227,568.50","$1,155,003.50",,,
"Accor ESG purpose for premium brands (Pullman, Movenpick, Swissotel)",Hospitality,Solving - Brand / VP / Positioning /Purpose Strategy,"$272,775.00",Cancelled,Side Door: General IDEO Inquiry,,,,,
Accor Pullman M&E CX,Hospitality,Solving - Service/Experience Design,"$654,660.00",Cancelled,Side Door: General IDEO Inquiry,,,,,
Accor Care Bar,Hospitality,Offer - Strategic Futures,,Cancelled,IDEO Front Door,,,,,
Mohari Hospitality - Brand Foundation Sprint,Hospitality - Luxury,Offer - Breakthrough Products; Offer - Strategic Futures,"$246,500.00",Cancelled,Side Door: Repeat Client,"$222,697.30","$1,443,170.30",,,5
Mohari Market Opportunity Sprint,Hospitality - Luxury,Offer - Strategic Futures,"$76,000.00",Delivered,Side Door: Repeat Client,,,"$179,461.50",,
Mohari - Utah Resort Vision,Hospitality - Luxury,Offer - Breakthrough Products; Solving - Service/Experience Design; Solving - Business Strategy,,Qualified Deal,Side Door: Repeat Client,,,,,
Omnam - New Ultra Lux Hospitality Brand vision,Hospitality - Luxury,Offer - Strategic Futures; Offer - Breakthrough Products,"$615,050.00",Qualifying,Side Door: Repeat Client,,,,,
Mohari – Guest Journey & Scenario Mapping,Hospitality - Luxury,Offer - Breakthrough Products,"$282,923.00",Signed,Side Door: Repeat Client,,,,,
Omnam - Metaverse POC,Hospitality - Luxury,Offer - Strategic Futures,"$222,697.30",Cancelled,Side Door: Your Professional Brand,,,,,
Brit Insurance Innovation Support,Insurance,Solving - Brand / VP / Positioning /Purpose Strategy,"$196,816.00",Cancelled,New Door: Proactive BD,,,,,
Allianz - Onsite for Top Leaders,Insurance,Offer - Creative Capabilities; Offer - Strategic Futures,"$73,806.00",Cancelled,IDEO Front Door,,,,,
Allianz Co-ideation Workshops,Insurance,Offer - Breakthrough Products; Offer - Creative Capabilities; Learning - Workshop; Solving - Service/Experience Design,"$200,000.00",Cancelled,IDEO Front Door,,,,,
KI insurance new venture,Insurance,Offer - Breakthrough Products,"$498,190.50",Cancelled,IDEO Front Door,,,,,
Zurich Insurance -  Innovation Week program facilitation,Insurance,Offer - Creative Capabilities; Offer - Strategic Futures,"$307,525.00",Cancelled,IDEO Front Door,,,,,
WTW — Europe Leadership Workshop,Insurance,Learning - Workshop,"$25,000.00",Cancelled,Side Door: Repeat Client,,,,,
WTW CEO Meeting Support,Insurance,Learning - Workshop,"$57,700.00",Signed,Side Door: Repeat Client,,,,,
Higher Colleges of Technology - Student on-campus experience & faculty innovation,Learning,Offer - Creative Capabilities; Offer - Strategic Futures,"$1,091,100.00",Cancelled,Side Door: General IDEO Inquiry,,,,,
The i digital product strategy,Media,Solving - Digital Strategy; Offer - Strategic Futures,"$282,923.00",Delivered,Side Door: Repeat Client,,,,,
Etihad Next Gen Premium Guest Experience,Mobility,Offer - Breakthrough Products,"$858,130.06",Cancelled,IDEO Front Door,,,,,
BA Cabin Interiors redesign,Mobility,Solving - Service/Experience Design,,Cancelled,IDEO Front Door,,,,,
Kuehne+Nagel CRM Target Picture Comms,Mobility,Solving - Communication Strategy & Messaging; Offer - Creative Capabilities,"$49,204.00",Cancelled,IDEO Front Door,,,,,
K+N Customer Solutions RFP - 2025 Product Launch,Mobility,Offer - Breakthrough Products; Offer - Strategic Futures,,Cancelled,IDEO Front Door,,,,,
Hero - Future of Mobility,Mobility,Offer - Strategic Futures; Offer - Creative Capabilities; Learning - IDEO U B2B Teams,"$450,000.00",Cancelled,IDEO Front Door,,,,,
Air France KLM Internal Transformation,Mobility,Offer - Strategic Futures; Offer - Creative Capabilities; Solving - Culture Change Strategy,"$307,525.00",Qualified Deal,IDEO Front Door,,,,,
Accell Group Culture Activation,Mobility,Solving - Brand / VP / Positioning /Purpose Strategy; Solving - Business Strategy,"$400,433.70",Signed,IDEO Front Door,"$1,310,707.70","$4,349,589.76","$655,353.85",,
Volvo - Future of Safety,Mobility,Offer - Strategic Futures,"$910,274.00",Signed,Side Door: Repeat Client,,,,,
British Airways Onboard Experience,Mobility,Offer - Breakthrough Products; Solving - Service/Experience Design,"$725,759.00",Cancelled,Side Door: Your Professional Brand,,,,,
Iveco - new truck platform,Mobility,Offer - Breakthrough Products,"$369,030.00",Qualifying,Side Door: Your Professional Brand,,,,,
Mubadala - Renewables Africa,Other,Offer - Strategic Futures,"$1,300,000.00",Cancelled,New Door: Proactive BD,,,,,
Global Reporting Initiative (GRI) - Strategy Sessions,Other,Solving - Business Strategy,"$79,956.50",Delivered,Side Door: General IDEO Inquiry,,,,,
Rio Tinto End of Life exploration,Other,Offer - Strategic Futures; Solving - Circular Economy Design,"$184,515.00",Cancelled,Side Door: General IDEO Inquiry,,,,,
HH2E Product design support in renewable energy space,Other,Offer - Breakthrough Products; Offer - Strategic Futures,,Cancelled,IDEO Front Door,,,,,
Mubadala - Communication Strategy,Other,Offer - Strategic Futures,"$650,000.00",Signed,New Door: Proactive BD,,,,,
Allwyn - Designing the Alternative to the Lottery ,Other,Offer - Breakthrough Products; Offer - Strategic Futures,"$738,060.00",Cancelled,Side Door: Your Professional Brand,,,,,
Madinet Masr: Future of Housing,Other,Offer - Strategic Futures,"$750,000.00",Cancelled,IDEO Front Door,,,,,
Inspiration Trips for Solutions by stc,Other,Solving - Process Design,"$250,000.00",Cancelled,Side Door: General IDEO Inquiry,,,,,
Aliaxis: approach to digital/IOT,Other,Solving - Digital Strategy,,Cancelled,Side Door: General IDEO Inquiry,,,,,
UEFA – Champions Innovate,Other,Offer - Strategic Futures,"$218,220.00",Cancelled,New Door: Proactive BD,,,,,
HOERBIGER,Other,Learning - Workshop,,Cancelled,Side Door: General IDEO Inquiry,,,,,
NPOx Blueprint,Other,Solving - Business Strategy,"$2,829,230.00",Cancelled,IDEO Front Door,,,,,
Laing O'Rourke Barriers to Going to Market,Professional Services,Solving - Research Design,"$184,515.00",Cancelled,New Door: Proactive BD,,,,,
"PwC - Global Marketing Org, experience Vision",Professional Services,Solving - Service/Experience Design,"$276,772.50",Cancelled,IDEO Front Door,,,,,
KPMG - Client Experience design (London Offices),Professional Services,Solving - Service/Experience Design; Solving - Space Design,"$731,909.50",Cancelled,Side Door: Repeat Client,,,,,
Linklaters Visitor & Guest Experience Design for London HQ,Professional Services,Offer - Creative Capabilities,"$467,438.00",Signed,IDEO Front Door,,,,,
MAF Mall of Emirates CX,Retail,Solving - Service/Experience Design,"$1,883,889.54",Cancelled,IDEO Front Door,,,,,2
Sephora Redesign Recruitment Experience,Retail,Offer - Creative Capabilities,"$245,497.50",Cancelled,IDEO Front Door,,,,,
Decathlon - digital upskilling tool,Retail,Solving - Other,,Cancelled,New Door: Proactive BD,"$1,451,518.00","$4,573,880.83",,,3
IKEA — Inclusive retailing Inspiration,Retail,Solving - Research Design,,Cancelled,New Door: Proactive BD,,,,,
Kotsovolos - Store of the Future,Retail,Offer - Breakthrough Products; Offer - Strategic Futures,,Cancelled,New Door: Proactive BD,,,,,
MAF CX Design For Service Points Seating,Retail,Offer - Strategic Futures,"$630,918.29",Cancelled,Side Door: General IDEO Inquiry,,,,,1
Inter IKEA - B2C Loyalty Proposition,Retail,Offer - Breakthrough Products,"$676,555.00",Cancelled,Side Door: Repeat Client,,,,,9
Inter IKEA - Personalisation at Scale with AI,Retail,Offer - Breakthrough Products,"$492,040.00",Cancelled,Side Door: Repeat Client,,,,,
FEMSA Spin Premia - Gamification Roadmap for Enhanced Loyalty,Retail,Offer - Breakthrough Products,"$453,906.90",Cancelled,Side Door: Repeat Client,,,,,
Inter IKEA - Conceptualizing Core Services,Retail,Offer - Breakthrough Products,"$246,020.00",Cancelled,Side Door: Repeat Client,,,,,
Inter IKEA - Future of Living room,Retail,Offer - Strategic Futures; Offer - Breakthrough Products,"$232,488.90",Cancelled,Side Door: Repeat Client,,,,,
Inter IKEA - Material Storytelling as a Competitive Advantage,Retail,Offer - Breakthrough Products,"$54,001.39",Delivered,Side Door: Repeat Client,,,"$237,286.29","$448,930.99",
interIKEA - Pocket Home Inspiration Workshop,Retail,Offer - Creative Capabilities,"$43,053.50",Delivered,Side Door: Repeat Client,,,,,
Inter IKEA - Market Hall block development – Store of Tomorrow,Retail,Offer - Strategic Futures,"$541,244.00",Delivered,Side Door: Repeat Client,,,,,
Luxottica - Store of the future - Medtech,Retail,Offer - Strategic Futures; Offer - Breakthrough Products,"$492,040.00",In Proposal,Side Door: Your Professional Brand,,,,,3
Inter IKEA - Learning Needs,Retail,Offer - Creative Capabilities,,Qualifying,Side Door: Your Professional Brand,,,,,
IKEA - Future of Comfort Seating,Retail,Offer - Strategic Futures; Offer - Breakthrough Products,"$244,174.85",Signed,Side Door: Repeat Client,,,,,
Lego workshop,Retail,Solving - Circular Economy Design,"$49,204.00",Signed,Side Door: Your Professional Brand,,,,,
Viasat - DTC Streaming,Tech,Solving - Business Model Transformation,"$369,030.00",Cancelled,IDEO Front Door,,,,,
Sony Music Entertainment UK: L&D,Tech,Offer - Creative Capabilities,"$49,204.00",Cancelled,IDEO Front Door,,,,,
FourthQuarterLife - Digital Experience Strategy,Tech,Offer - Strategic Futures,,Cancelled,New Door: Proactive BD,,,,,
Samsung Innovation Retainer RFP,Tech,Offer - Creative Capabilities; Offer - Strategic Futures,"$1,845,150.00",Cancelled,New Door: Proactive BD,,,,,
Meta Marketing Immersion: Tokyo,Tech,Solving - Service/Experience Design,"$100,000.00",Cancelled,Side Door: Repeat Client,,,,,5
BT – Getting Research Breakthroughs to Market,Tech,Offer - Strategic Futures,,Cancelled,Side Door: Repeat Client,,,,,
KPMG AI leadership activation workshop,Tech,Offer - Strategic Futures,"$36,903.00",Cancelled,Side Door: Repeat Client,,,,,
Infineon Marketing Conference,Tech,Offer - Strategic Futures,"$369,030.00",Cancelled,Side Door: Repeat Client,,,,,
Vibe AI - Device Industrial Design,Tech,Offer - Breakthrough Products,,Cancelled,Side Door: Your Professional Brand,,,,,
AWS AI for good strategy,Tech,Offer - Strategic Futures,"$311,687.66",Signed,New Door: Proactive BD,"$532,552.11","$3,301,869.11","$266,276.06",,
KPMG - AI Adoption,Tech,Solving - Capacity Building Design,"$220,864.46",Signed,Side Door: Repeat Client,,,,,